categoria,categoria_codigo,division,grupo,clase,subclase_codigo,subclase,nota
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1125,cultivo de legumbres,"El cultivo de frejol (cumanda, poroto, chaucha), arveja, haba, garbanzo, lenteja, tarwy, vainita, etc."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1126,cultivo de flores y plantas ornamentales,"El cultivo de rosa, clavel, crisantemo, azucena, cartucho, etc., y plantas ornamentales en viveros.Esta subclase no incluye: La explotación de viveros forestales. "
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1127,produccion de semillas y otras formas de propagacion de cultivos agricolas,"La producción de semillas de cereales, oleaginosas, forrajeras, frutales,hortalizas, legumbres, flores, etc., semillas híbridas y los gajos, bulbos,estacas enraizadas o no, esquejes, cepas, plantines y otras formas de propagación"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1129,otros cultivos de hortalizas legumbres y especialidades horticolas y recolecciones ncp,El cultivo y la recolección de hongos y cochinilla.
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de frutas; plantas cuyas hojas o frutas se utilizan para preparar bebidas y especias,1131,cultivo de frutas de carozo,"El cultivo de ciruela, damasco, (albarillo), durazno, guinda y otras frutas de carozo."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de frutas; plantas cuyas hojas o frutas se utilizan para preparar bebidas y especias,1132,cultivo de frutas citricas,"El cultivo de lima, limón, mandarina, naranja, toronja, etc."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de frutas; plantas cuyas hojas o frutas se utilizan para preparar bebidas y especias,1133,cultivo de frutas de pepita,"El cultivo de maracuyá, chirimoya, manzana, pera, membrillo, níspero, pera,peramota, papaya, mango, palta, sandía, tamarindo, tumbo, tuna, uva, etc."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de frutas; plantas cuyas hojas o frutas se utilizan para preparar bebidas y especias,1134,cultivo de frutas secas,"El cultivo de la nuez, cocos y otros frutos secos."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de frutas; plantas cuyas hojas o frutas se utilizan para preparar bebidas y especias,1135,cultivos de plantas para bebidas y estimulantes,"El cultivo de plantas para preparar bebidas e infusiones tales como el café, cacao, té, coca, lúpulo, hierba mate."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de frutas; plantas cuyas hojas o frutas se utilizan para preparar bebidas y especias,1136,cultivo de especias y de plantas aromaticas y medicinales,"El cultivo de menta, anís, manzanilla, cedrón, boldo, toronjil, comino, vainilla,pimienta negra, pimienta dulce, clavo de olor, urucú, laurel, orégano, y otras especias."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de frutas; plantas cuyas hojas o frutas se utilizan para preparar bebidas y especias,1139,otras frutas cultivadas ncp,"El cultivo de paltano, banano, piña, mora, guayaba, taruma, caya, y otros."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de ganado y produccion de leche cruda,1211,cria de ganado vacuno,"Las unidades pecuarias dedicadas principalmente a la cría deganado vacuno.Esta subclase no incluye:El servicio de albergue, cuidado y cría de ganado que se realiza por contrata (véase 01402)"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de ganado y produccion de leche cruda,1212,cria de ganado ovino caprino y equinos,"La cría de ovejas, cabras, caballos.Esta subclase no incluye:La esquila de ovejas por contrata (véase 01402)"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de ganado y produccion de leche cruda,1213,cria de ganado camelido,"La cría de alpaca, guanaco, llama, vicuña y otros."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de ganado y produccion de leche cruda,1214,produccion de leche  cruda,"La producción de leche cruda de vaca, cabra, oveja,etc.Esta subclase no incluye:El tratamiento de la leche por la industria láctea (véase 15201)."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de ganado y produccion de leche cruda,1215,produccion de lana fibra pelo de animales (esquila),"La producción de lana de oveja en bruto; fibra de vicuña, alpaca, guanaco, llama, etc., pelo de conejo.Esta subclase no incluye:La esquila de ovejas por contrata o a cambio de una retribución (véase 01402). La lana de matadero (véase 15119)."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de otros animales y elaboracion de productos animales ncp,1221,cria de aves,"La cría de aves domésticas como gallinas, gallos, pollitos BB para postura, pavos, patos y codornices. Esta subclase no incluye:La matanza de aves de corral fuera de la unidad (véase 15112)"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de otros animales y elaboracion de productos animales ncp,1222,cria de ganado porcino,La cría de ganado porcino Esta subclase no incluye: El cuidado de ganado por cuenta de terceros (véase 01402). La matanza de ganado porcino fuera de la unidad pecuaria (véase 15114).
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de otros animales y elaboracion de productos animales ncp,1223,produccion de huevos,La obtención de huevos de aves de corral. 
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de otros animales y elaboracion de productos animales ncp,1224,apicultura,"La producción de miel, jalea real, polen, propoléo, etc."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cria de animales,cria de otros animales y elaboracion de productos animales ncp,1229,cria de animales y obtencion de productos de origen animal ncp,"La cría de conejo, cría de animales de compañia, sericultura: cría de gusanos de seda, cría de reptiles de agua y de ranas en estanques, cría de animales diversos, incluidos los animales utilizados para investigación, cera de insectos excepto la de abeja,"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivo de productos agricolas en combinacion con la cria de animales (explotacion mixta),cultivos de productos agricolas en combinacion con la cria de animales (explotacion mixta),1300,cultivos de productos agricolas en combinacion con la cria de animales (explotacion mixta),La producción agraria combinada con la cría del ganado en unidades de actividad conjunta con un porcentaje de especialización en cada una inferior al 66 % para cada actividad. NOTA: Cuando el porcentaje de especialización (cociente entre el valor añadido 
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos","actividades de servicios agricolas y ganaderos, excepto las actividades veterinarias","actividades de servicios agricolas y ganaderos, excepto las actividades veterinarias",1401,actividades de servicios agricolas,"Los servicios de labranza, siembra, pulverización y desinfección, etc. La cosecha mecánica de grano, caña de azucar, algodón, forrajes, el enfardado, enrollado, etc. La poda de árboles, transplante, fumigación y desinfección manual, cosecha manual de cítr"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos","actividades de servicios agricolas y ganaderos, excepto las actividades veterinarias","actividades de servicios agricolas y ganaderos, excepto las actividades veterinarias",1402,actividades de servicios ganaderos excepto las actividades veterinarias,"Las actividades ganaderas realizadas por cuenta de terceros, tendientes a mejorar la reproducción, el crecimiento y el rendimiento de los animales; y la obtención de los productos propios de estos. El arreo, pasturaje de ganado, castración de aves, esquil"
caza silvicultura y pesca,B,"caza y captura de animales vivos, repoblacion de animales de caza y servicios conexos","caza y captura de animales vivos, repoblacion de animales de caza y servicios conexos","caza y captura de animales vivos, repoblacion de animales de caza y servicios conexos",2001,caza  y captura de animales vivos y repoblacion  de animales de caza y servicios conexos,"La caza de animales para obtener carne, pieles y cueros, la captura de animales vivos para zoológicos, animales de compañia, para investigación, etc., la producción de peleteria, de pieles de reptiles y aves procedente de la caza mediante métodos ordinari"
caza silvicultura y pesca,B,"caza y captura de animales vivos, repoblacion de animales de caza y servicios conexos","caza y captura de animales vivos, repoblacion de animales de caza y servicios conexos","caza y captura de animales vivos, repoblacion de animales de caza y servicios conexos",2002,servicios para la caza,"Las actividades de servicios para promover la caza, mediante el colocado de trampas para capturar animales con fines comerciales."
caza silvicultura y pesca,B,"silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas",3001,extraccion de productos forestales de bosques cultivados,"La producción de madera en bruto, como durmientes (traviesas), postes, estacas, leña, carbón vegetal, de maderas coníferas (pino, nogal, eucalipto) y de maderas distintas de las coníferas (amargo, bibosi, curupau, ochoo, paquio, quina quina, verdolago, ye"
caza silvicultura y pesca,B,"silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas",3002,extraccion de productos forestales de bosques nativos,"La producción de madera en bruto, como durmientes (traviesas), postes, estacas, leña, carbón vegetal, de maderas coníferas (pino, nogal, eucalipto) y de maderas distintas de las coníferas (amargo, bibosi, curupau, ochoo, y otras). Esta subclase no incluye"
caza silvicultura y pesca,B,"silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas",3003,recoleccion de productos forestales silvestres,"La recolección de productos como la balata y otras gomas similares al caucho, corcho, laca, resinas, bálasamo, castaña, musgos y otros productos silvestres. Esta subclase no incluye:El cultivo de reclección de hongos (véase 01129)"
caza silvicultura y pesca,B,"silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas",3004,servicios forestales de extraccion de madera,"La tala de arboles acarreo y transporte en el interior del bosque, servicios realizados por terceros, etc."
caza silvicultura y pesca,B,"silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas","silvicultura, extraccion de madera y actividades de servicios conexas",3009,otros servicios forestales,"Repoblacion y conservación de bosques nativos y zonas forestales. Explotación de viveros forestales. Servicios de tratamiento contra las plagas forestales. La protección contra incendios, evaluación de masa forestales, en pie estimación del valor de la ma"
caza silvicultura y pesca,B,"pesca, explotacion de criaderos de peces y granjas piscicolas; actividades de servicios relacionadas con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca",5001,pesca  lacustre,"La pesca de trucha, pejerrey, carache, ispi, mauri, etc. Esta subclase no incluye: La pesca deportiva y de recreo y los servicios afines (véase 9241)."
caza silvicultura y pesca,B,"pesca, explotacion de criaderos de peces y granjas piscicolas; actividades de servicios relacionadas con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca",5002,pesca fluvial,"La pesca de surubí, sábalo, pacú, boga, salmón, peces ornamentales, etc."
caza silvicultura y pesca,B,"pesca, explotacion de criaderos de peces y granjas piscicolas; actividades de servicios relacionadas con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca",5003,explotacion de criaderos de peces y granjas piscicolas,"Las actividades relacionadas con la repoblación, reproducción, y cría de peces en granjas piscícolas"
caza silvicultura y pesca,B,"pesca, explotacion de criaderos de peces y granjas piscicolas; actividades de servicios relacionadas con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca","pesca, explotacion de criaderos de peces y granjas piscicolas; y de servicios relacionados con la pesca",5004,actividades de servicios relacionadas con la pesca,El cultivo de algas comestibles
minerales metalicos y no metalicos,D,extraccion de carbon y lignito; extraccion de turba,extraccion y aglomeracion de carbon de piedra,extraccion y aglomeracion de carbon de piedra,10100,extraccion y aglomeracion de carbon de piedra,"La extracción de diversos tipos de carbón de piedra: la antracita, hulla y otros tipos de carbón mineral. La fabricación de briquetas y otros combustible sólidos compuestos principalmente de carbón de piedra. Esta subclase no incluye: La extracción de lig"
minerales metalicos y no metalicos,D,extraccion de carbon y lignito; extraccion de turba,extraccion y aglomeracion de lignito,extraccion y aglomeracion de lignito,10200,extraccion y aglomeracion de lignito,"La extracción de lignito (carbón pardo), de minas subterráneas o a cielo abierto, fabricación de briquetas y otros combustibles sólidos compuestos principalmente de lignito. Esta subclase no incluye: La extracción de carbón de piedra y la extracción de tu"
minerales metalicos y no metalicos,D,extraccion de carbon y lignito; extraccion de turba,extraccion y aglomeracion de turba,extraccion y aglomeracion de turba,10300,extraccion y aglomeracion de turba,La extracción y aglomeración de turba
extraccion de petroleo crudo y gas natural,C,extraccion de petroleo crudo y gas natural y actividades de servicios relacionados,extraccion de petroleo crudo y gas natural,extraccion de petroleo crudo y gas natural,11100,extraccion de petroleo crudo y gas natural,"La extracción de crudos de petróleo, producción de gas natural, obtención de condensados, el drenaje y la separación de fracciones de hidrocarburos líquidos, la licuefacción y regasificación de gas natural para su transporte, la desulfuración de gas, la e"
extraccion de petroleo crudo y gas natural,C,extraccion de petroleo crudo y gas natural y actividades de servicios relacionados,"actividades de servicios relacionadas con la extraccion de petroleo y gas, excepto las actividades de prospeccion","actividades de servicios relacionadas con la extraccion de petroleo y gas, excepto las actividades de prospeccion",11200,actividades de servicios relacionadas con la extraccion de petroleo y gas excepto las actividades de prospeccion,"Las actividades de los servicios de los yacimientos de petróleo y gas natural prestados por cuenta de tercros: la perforación dirigida, la perforación repetida; el inicio de la perforación; el bombeo de los pozos; el cegamiento y clausura de los pozos, et"
minerales metalicos y no metalicos,D,extraccion de minerales de uranio y torio,extraccion de minerales de uranio y torio,extraccion de minerales de uranio y torio,12000,extraccion de minerales de uranio y torio,La extracción de minerales de uranio y torio. la concentración de estos minerales. La fabricación de concentrado de óxido de uranio. Esta clase no incluye: La extracción de minerales metalíferos de tierras raras (véase 1320). La extracción de metal de ura
minerales metalicos y no metalicos,D,extraccion de minerales metalicos,extraccion de minerales de hierro,extraccion de minerales de hierro,13100,extraccion de minerales de hierro,"La extracción de  minerales cuya explotación se debe fundamentalmente a su contenido en hierro como la hematita, la magnetita, la limonita, la siderosa, y la taconita. Producción de minerales de hierro sintetizados. Esta clase no incluye: La extracción y "
minerales metalicos y no metalicos,D,extraccion de minerales metalicos,"extraccion de minerales metalicos no ferrosos, excepto minerales de uranio y torio","extraccion de minerales metalicos no ferrosos, excepto minerales de uranio y torio",13201,extraccion de minerales metalicos no ferrosos excepto los minerales de uranio y torio,"La extracción de minerales valorados principalmente por su contenido de metales no ferrosos incluso de minerales de aluminio (bauxita), cobre, estaño, manganeso, níquel, plomo, wolframio, antimonio, bismuto, zinc, estaño,  manganeso, plomo, molibdeno, tit"
minerales metalicos y no metalicos,D,extraccion de minerales metalicos,"extraccion de minerales metalicos no ferrosos, excepto minerales de uranio y torio","extraccion de minerales metalicos no ferrosos, excepto minerales de uranio y torio",13202,extraccion de metales preciosos,"La extracción y preparación de metales preciosos: oro, plata y los metales del grupo del platino."
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,"extraccion de piedra, arena y arcilla","extraccion de piedra, arena y arcilla",14101,extraccion de piedras,"La extracción desbastado y troceado por aserrado de piedras para la  construcción, incluye la piedra caliza, dolomita, granitos, areniscas, yeso natural, anhidrita, etc. Esta subclase no incluye: La talla, el labrado y el acabado de piedras fuera de las c"
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,"extraccion de piedra, arena y arcilla","extraccion de piedra, arena y arcilla",14102,extraccion de arenas,"La extracción de arena y grava para construcción, arena silícea, otras arenas naturales, canto rodado, granito triturado, basalto triturado, piedra partida y otros triturados pétreos, etc. Esta subclase no incluye:  La extracción de minerales para la indu"
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,"extraccion de piedra, arena y arcilla","extraccion de piedra, arena y arcilla",14103,extraccion de arcilla,"Extracción de arcillas, arcillas refractorias, bentonita, caolín, pirofilita, y otras de uso industrial, etc.Esta subclase no incluye: La extracción de minerales para la industria química y la extracción de abonos (véase 1421). La elaboración de arcillas "
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,"extraccion de piedra, arena y arcilla","extraccion de piedra, arena y arcilla",14104,extraccion de piedras ornamentales,"La extracción de mármol, pizarra y otros tipos de piedra de talla. Esta subclase no incluye: El acabado de la piedra (véase 2696)."
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,explotacion de minas y canteras ncp,extraccion de minerales para la fabricacion de abonos y productos quimicos,14211,extraccion de minerales para la fabricacion de abonos,"La extracción de fosfatos de calcio naturales, silvinita, azufre en bruto sin refinar y otras sales de potasio naturales, incluye tambien la recolección de guano, etc."
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,explotacion de minas y canteras ncp,extraccion de minerales para la fabricacion de abonos y productos quimicos,14212,extraccion de minerales para la fabricacion de productos quimicos,"La extracción de sulfatos y de carbonatos de bario naturales, (baritina),  boratos naturales, calcita, celestina, colemanita, fluorita, litio y sales de litio naturales, sulfato de alumnio, sulfato de hierro, sulfato de magnesio, sulfato de sodio, criolli"
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,explotacion de minas y canteras ncp,extraccion de sal,14220,extraccion de sal,La extracción de sal en su estado natural. Esta clase no incluye: La elaboración de sal (véase 2429).
minerales metalicos y no metalicos,D,explotacion de otras minas y canteras,explotacion de minas y canteras ncp,explotacion de otras minas y canteras ncp,14290,explotacion de otras minas y canteras ncp,"La extracción en minas y canteras, de minerales y otros materiales no clasificados en otra parte: materiales abrasivos; piedras preciosas;  asbesto; amianto, cuarzo, diatomita, piedra pómez, ágata, agua marina, matista, cristal roca, topacio, corindón, fe"
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","produccion, procesamiento y conservacion de carne y productos carnicos",15111,matanza de ganado bovino y procesamiento de su carne,"La producción de carne fresca, refrigerada o congelada de ganado bovino, cueros procedentes de mataderos, el tratamiento de despojos de ganado bovino.  Esta subclase no incluye: El envasado de carne por cuenta propia asociado a su comercio al por mayor (v"
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","produccion, procesamiento y conservacion de carne y productos carnicos",15112,produccion y procesamiento de carne de aves de corral,"El sacrificio de aves, la preparación de carne de aves La producción de carne fresca, refrigerada o congelada de aves en porciones. Esta subclase no incluye: La extracción de grasas  comestibles de ave (véase 15119). Envasado de  carne de aves de corral p"
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","produccion, procesamiento y conservacion de carne y productos carnicos",15113,elaboracion de fiambres y embutidos,"La fabricación de productos embutidos tales como: salami, chorizos, morcillas, salchichas, mortadela, patés, jamones cocido."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","produccion, procesamiento y conservacion de carne y productos carnicos",15114,matanza de ganado excepto el bovino y procesamiento de su carne,"La matanza y/o faena de ganado, excepto el bovino, ovino, porcino, caprino y otros. Incluye tambien la producción de cueros y pieles sin curtir y otros subproductos."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","produccion, procesamiento y conservacion de carne y productos carnicos",15119,elaboracion de subproductos carnicos ncp,"La producción de aceites, grasas, harinas, cueros salados y otros subproductos del procesamiento de carne elaborados en establecimientos diferentes a los que se sacrifican y/o procesan carne (véase 15111 ó 15114)."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas",elaboracion y conservacion de pescado y productos de pescado,15120,elaboracion y conservacion de pescado y productos de pescado,La pesca y elaboración en los propios buques pesqueros de sus capturas de peces (véase 0500).
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","preparacion, elaboracion y conservacion de frutas, legumbres y hortalizas",15131,preparacion de conservas de frutas hortalizas y legumbres,"La producción integrada de conservas, jaleas, dulces y mermeladas."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","preparacion, elaboracion y conservacion de frutas, legumbres y hortalizas",15132,elaboracion de jugos naturales y sus concentrados de frutas hortalizas y legumbres,"La elboración de jugos para diliuir o en polvo llamados ""sínteticos"" o de un contenido en jugos naturales inferior al 50% (véase 15499)."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","preparacion, elaboracion y conservacion de frutas, legumbres y hortalizas",15133,elaboracion de pulpas jaleas dulces y mermeladas obtenidos por coccion,"Elaboración de pulpas, jaleas, dulces y mermeladas obtenidos por cocción Esta subclase no incluye: La producción integrada de conservas, jaleas, dulces y mermeladas (véase 15131)."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","preparacion, elaboracion y conservacion de frutas, legumbres y hortalizas",15134,elaboracion y preparacion de frutas hortalizas y legumbres deshidratadas o desecadas,La elaboración de frutas y legumbres deshidratadas o desecadas Esta subclase no incluye: La elaboración de harina y sémola de leguminosas secas (véase 1531).
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas",elaboracion de aceites y grasas de origen vegetal,15141,elaboracion de aceites y grasas vegetales sin refinar y subproductos,"La producción de aceites vegetales sin refinar: soya, girasol, semillas de algodón, etc. Los línteres de algodón Esta subclase no incluye: La extracción y refinación de manteca de cerdo y otras grasas comestibles de orígen animal (véase 15119) y los aceit"
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas",elaboracion de aceites y grasas de origen vegetal,15142,elaboracion de aceites y grasas vegetales refinadas y subproductos,"La producción de aceites vegetales refinados: soya girasol, semillas de algodón, etc. Esta subclase no incluye: La extracción y refinación de manteca de cerdo y otras grasas comestibles de orígen animal (véase 15119) y los aceites esenciales. (véase 2429)"
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"produccion, procesamiento y conservacion de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas",elaboracion de aceites y grasas de origen vegetal,15143,preparacion de tortas y produccion de harinas y productos residuales de la produccion de aceite,"La preparación de tortas y demás residuos sólidos de la extracción de aceite  de soya, girasol, harina de semillas y de frutos oleaginosos. Incluye tambien  la producción de margarina y otros acites de mesa y grasas para cocinar."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,elaboracion de productos lacteos,elaboracion de productos lacteos,15201,elaboracion de leches y productos lacteos,"La producción de leche líquida fresca, pasteurizada, esterilizada, homogeneizada o tratadas a altas temperaturas, etc. La elaboración de leche en polvo o concentrada, saborizada, azucarada o sin azúcar, leche condensada, leche en polvo, crema de leche, du"
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,elaboracion de productos lacteos,elaboracion de productos lacteos,15202,elaboracion de helados,La elaboración de helados con o sin leche y con o sin cacao. Esta subclase no incluye: Las actividades del comercio al por menos de productos lácteos. (véase 52202).
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,elaboracion de productos lacteos,elaboracion de productos lacteos,15203,elaboracion de quesos,"La producción de quesos frescos, de pasta dura o fundido, etc."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"elaboracion de productos de molineria, almidones y productos derivados del almidon y de alimentos preparados para animales",elaboracion de productos de molineria,15311,preparacion y molienda de trigo,"Producción de harinas, sémolas y productos residuales del trigo Esta subclase no incluye: La elboración de harina y sémola de patata (véase 1513)."
industria manufacturera,E,elaboracion de productos alimenticios y bebidas,"elaboracion de productos de molineria, almidones y productos derivados del almidon y de alimentos preparados para animales",elaboracion de productos de molineria,15312,preparacion de arroz,"La preparación de arroz, descascarillado, semiblanqueado, blanqueado, partido, la elaboración de harina de arroz y productos residuales de arroz."
