categoria,categoria_codigo,division,grupo,clase,subclase_codigo,subclase,nota
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de cereales y otros cultivos,1111,cultivo de cereales,"El cultivo de trigo, arroz, maíz, centeno, avena, sorgo, cebada, cañahua, quinua y otros cereales"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de cereales y otros cultivos,1112,cultivo de oleaginosas,"Los cultivos de plantas oleaginosas (para aceites comestibles o de uso industrial) como soya, girasol, pepitas de algodón, maní, cártamo, coco, jojoba, linaza, motacú, ricino y otras oleaginosas."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de cereales y otros cultivos,1113,cultivos sacarinos,"El cultivo de caña de azúcar, remolacha azucarera, estevia y otros cultivos sacarinos."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de cereales y otros cultivos,1114,cultivo de plantas para la obtencion de fibras,"El cultivo de diversas plantas textiles: algodón, lino textil, cáñamo, cabuya, carahuata y otros cultivos de plantas textiles"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de cereales y otros cultivos,1115,cultivo forrajero (para el pastoreo o la henificacion forraje verde o ensilaje),"El cultivo de alfalfa, sorgo; avena, cebada y centeno berza; braquiara, búfalo, colonion, etc."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,cultivo de cereales y otros cultivos,1119,otros cultivos ncp,"El cultivo de tabaco, incluida su recolección, el desnervado y otros procesos cuyo resultado no sea un producto dispuesto para fumar. Las plantaciones de palmitos, castaña, del árbol gomero, achicoria, cañahueca o bambu y otros cultivos no clasificados en"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1121,cultivo de hortalizas de raiz y tuberculo,"El cultivo de zanahoria nabo, rábano, betarraga, papa, camote, yuca, oca, racacha, papaliza, hualuza, izaño (mashua), otras raíces y tubérculos comestibles"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1122,cultivo de hortalizas de flor y fruto,"El cultivo de alcachofa, coliflor, brócoly, berenjena, espárrago, tomate, pepino, pepinillo, ají, pimentón, zapallo y otras hortalizas de flor y fruto"
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1123,cultivo de hortalizas de hoja,"El cultivo de acelga, apio, espinca, lechuga, perejil, espárrago. repollo, culandro, quirquiña, huacataya, albahaca, berro y otras hortalizas de hoja."
agricultura y ganaderia,A,"agricultura, ganaderia y servicios conexos",cultivos y produccion agricola en general,"cultivo de hortalizas, legumbres, flores y plantas ornamentales",1124,cultivo de hortalizas de bulbo,El cultivo de ajo y cebolla
